Date,GDP
1959-07-01,62496
1959-10-01,63043
1960-01-01,67914
1960-04-01,69788
1960-07-01,69951
1960-10-01,69818
1961-01-01,70021
1961-04-01,69246
1961-07-01,68757
1961-10-01,69545
1962-01-01,71491
1962-04-01,72856
1962-07-01,73451
1962-10-01,74776
1963-01-01,76496
1963-04-01,75496
1963-07-01,78603
1963-10-01,80291
1964-01-01,80155
1964-04-01,82125
1964-07-01,82643
1964-10-01,84995
1965-01-01,85704
1965-04-01,87040
1965-07-01,86791
1965-10-01,87007
1966-01-01,86750
1966-04-01,87932
1966-07-01,90425
1966-10-01,91025
1967-01-01,94572
1967-04-01,94429
1967-07-01,96209
1967-10-01,97052
1968-01-01,96183
1968-04-01,99878
1968-07-01,101205
1968-10-01,104984
1969-01-01,104252
1969-04-01,106309
1969-07-01,108078
1969-10-01,110575
1970-01-01,112871
1970-04-01,115132
1970-07-01,114895
1970-10-01,115449
1971-01-01,116843
1971-04-01,117339
1971-07-01,121028
1971-10-01,120645
1972-01-01,119178
1972-04-01,121840
1972-07-01,121228
1972-10-01,122519
1973-01-01,125678
1973-04-01,125911
1973-07-01,127186
1973-10-01,130368
1974-01-01,130386
1974-04-01,127736
1974-07-01,129264
1974-10-01,129401
1975-01-01,129905
1975-04-01,133998
1975-07-01,132535
1975-10-01,130544
1976-01-01,136302
1976-04-01,136717
1976-07-01,137828
1976-10-01,139040
1977-01-01,138275
1977-04-01,140226
1977-07-01,139631
1977-10-01,139201
1978-01-01,140176
1978-04-01,141321
1978-07-01,143473
1978-10-01,144678
1979-01-01,148632
1979-04-01,146240
1979-07-01,147603
1979-10-01,150469
1980-01-01,151130
1980-04-01,151518
1980-07-01,152321
1980-10-01,154964
1981-01-01,155547
1981-04-01,157951
1981-07-01,161127
1981-10-01,160501
1982-01-01,159179
1982-04-01,160614
1982-07-01,159534
1982-10-01,157026
1983-01-01,155440
1983-04-01,155154
1983-07-01,159480
1983-10-01,162156
1984-01-01,166224
1984-04-01,168090
1984-07-01,169516
1984-10-01,170706
1985-01-01,173175
1985-04-01,177005
1985-07-01,179397
1985-10-01,178956
1986-01-01,180099
1986-04-01,179779
1986-07-01,180286
1986-10-01,183275
1987-01-01,185026
1987-04-01,187936
1987-07-01,191344
1987-10-01,195226
1988-01-01,196055
1988-04-01,196196
1988-07-01,197798
1988-10-01,200926
1989-01-01,202965
1989-04-01,207246
1989-07-01,208991
1989-10-01,208427
1990-01-01,210082
1990-04-01,210347
1990-07-01,209146
1990-10-01,210386
1991-01-01,207669
1991-04-01,207328
1991-07-01,208230
1991-10-01,208357
1992-01-01,209948
1992-04-01,211452
1992-07-01,213542
1992-10-01,217962
1993-01-01,219508
1993-04-01,220789
1993-07-01,221060
1993-10-01,225120
1994-01-01,228797
1994-04-01,231539
1994-07-01,233325
1994-10-01,235763
1995-01-01,235857
1995-04-01,236805
1995-07-01,242148
1995-10-01,242085
1996-01-01,246064
1996-04-01,247753
1996-07-01,249671
1996-10-01,251978
1997-01-01,253543
1997-04-01,261081
1997-07-01,261450
1997-10-01,265231
1998-01-01,267017
1998-04-01,269467
1998-07-01,274557
1998-10-01,278680
1999-01-01,280754
1999-04-01,281659
1999-07-01,284913
1999-10-01,289773
2000-01-01,290941
2000-04-01,293671
2000-07-01,294401
2000-10-01,293333
2001-01-01,296393
2001-04-01,298803
2001-07-01,302373
2001-10-01,306028
2002-01-01,308374
2002-04-01,313644
2002-07-01,314594
2002-10-01,317162
2003-01-01,317805
2003-04-01,319127
2003-07-01,324669
2003-10-01,329995
2004-01-01,332586
2004-04-01,334792
2004-07-01,337378
2004-10-01,339916
2005-01-01,342513
2005-04-01,344016
2005-07-01,347886
2005-10-01,350540
2006-01-01,350934
2006-04-01,351654
2006-07-01,356913
2006-10-01,361501
2007-01-01,366562
2007-04-01,368834
2007-07-01,373094
2007-10-01,374592
2008-01-01,378459
2008-04-01,379668
2008-07-01,382370
2008-10-01,380552
2009-01-01,384048
2009-04-01,386954
2009-07-01,388115
2009-10-01,391028
2010-01-01,392716
2010-04-01,395387
2010-07-01,398175
2010-10-01,401663
2011-01-01,400460
2011-04-01,405656
2011-07-01,411156
2011-10-01,415576
2012-01-01,419499
2012-04-01,422634
2012-07-01,425166
2012-10-01,427205
2013-01-01,429019
2013-04-01,430869
2013-07-01,434261
2013-10-01,437749
2014-01-01,441048
2014-04-01,443084
2014-07-01,445209
2014-10-01,446827
2015-01-01,450884
2015-04-01,451370
2015-07-01,456084
2015-10-01,458825
2016-01-01,462773
2016-04-01,465800
2016-07-01,466437
2016-10-01,471319
2017-01-01,472423
2017-04-01,475627
2017-07-01,480272
2017-10-01,482362
2018-01-01,486504
2018-04-01,490809
2018-07-01,492894
2018-10-01,493524
2019-01-01,495551
2019-04-01,498973
2019-07-01,503060
2019-10-01,505036
2020-01-01,503496
2020-04-01,469275
2020-07-01,485727
2020-10-01,501644
2021-01-01,510590
2021-04-01,514784
2021-07-01,505413
2021-10-01,523725
2022-01-01,527676
